Wallet_ID,Suspicion_Score,Predicted_Label,True_Label
W_Mule_351_52,1.0,1,1
W_Mule_351_53,1.0,1,1
W_Mule_351_54,1.0,1,1
W_Mule_330_35,1.0,1,1
W_Mule_330_36,1.0,1,1
W_Mule_330_37,1.0,1,1
W_Mule_32_77,1.0,1,1
W_Mule_32_78,1.0,1,1
W_Mule_32_79,1.0,1,1
W_Mule_330_40,1.0,1,1
W_Mule_330_41,1.0,1,1
W_Mule_330_42,1.0,1,1
W_Mule_330_43,1.0,1,1
W_Mule_330_44,1.0,1,1
W_Mule_330_6,1.0,1,1
W_Mule_330_60,1.0,1,1
W_Mule_330_61,1.0,1,1
W_Mule_330_48,1.0,1,1
W_Mule_330_49,1.0,1,1
W_Mule_330_5,1.0,1,1
W_Mule_330_50,1.0,1,1
W_Mule_330_51,1.0,1,1
W_Mule_330_67,1.0,1,1
W_Mule_330_68,1.0,1,1
W_Mule_330_69,1.0,1,1
W_Mule_330_55,1.0,1,1
W_Mule_330_56,1.0,1,1
W_Mule_98_65,1.0,1,1
W_Mule_98_66,1.0,1,1
W_Mule_98_67,1.0,1,1
W_Mule_98_72,1.0,1,1
W_Mule_98_73,1.0,1,1
W_Mule_98_74,1.0,1,1
W_Mule_98_60,1.0,1,1
W_Mule_98_61,1.0,1,1
W_Mule_98_62,1.0,1,1
W_Mule_98_63,1.0,1,1
W_Mule_351_6,1.0,1,1
W_Mule_351_60,1.0,1,1
W_Mule_351_61,1.0,1,1
W_Mule_351_48,1.0,1,1
W_Mule_351_49,1.0,1,1
W_Mule_351_5,1.0,1,1
W_Mule_351_50,1.0,1,1
W_Mule_351_51,1.0,1,1
W_Mule_351_67,1.0,1,1
W_Mule_351_68,1.0,1,1
W_Mule_351_69,1.0,1,1
W_Mule_351_55,1.0,1,1
W_Mule_351_56,1.0,1,1
W_Mule_351_57,1.0,1,1
W_Mule_351_58,1.0,1,1
W_Mule_351_59,1.0,1,1
W_Mule_98_79,1.0,1,1
W_Mule_98_36,1.0,1,1
W_Mule_98_37,1.0,1,1
W_Mule_98_38,1.0,1,1
W_Mule_98_82,1.0,1,1
W_Mule_98_83,1.0,1,1
W_Mule_98_9,1.0,1,1
W_Mule_98_43,1.0,1,1
W_Mule_98_44,1.0,1,1
W_Mule_98_45,1.0,1,1
W_Mule_98_31,1.0,1,1
W_Mule_98_32,1.0,1,1
W_Mule_98_33,1.0,1,1
W_Mule_98_34,1.0,1,1
W_Mule_98_5,1.0,1,1
W_Mule_98_0,1.0,1,1
W_Mule_98_53,1.0,1,1
W_Mule_98_54,1.0,1,1
W_Mule_98_55,1.0,1,1
W_Mule_98_56,1.0,1,1
W_Mule_98_57,1.0,1,1
W_Mule_98_14,1.0,1,1
W_Mule_98_15,1.0,1,1
W_Mule_98_16,1.0,1,1
W_Mule_98_21,1.0,1,1
W_Mule_98_22,1.0,1,1
W_Mule_98_23,1.0,1,1
W_Mule_98_1,1.0,1,1
W_Mule_98_10,1.0,1,1
W_Mule_98_11,1.0,1,1
